3257,3218,9.59711960313e-06,Tallinn,Reykjavik,EST,ISL,59.45,24.75,64.14972,-21.9475,11,7.27,6.52,5.81,34.7
5952,2812,0.11908990722,Leith,Kandalaksha,GBR,RUS,55.98333,-3.16667,67.13333,32.43333,7,10.08,3.09,33.97,21.66
2355,5082,0.0142324600717,Kalundborg,Tromso,DNK,NOR,55.68333,11.08333,69.65,18.96667,3,10.2,4.14,18.06,12.35
3695,1142,0.00343532548,Trondheim,Torshavn,NOR,FRO,63.43333,10.4,62,-6.75,4,6.98,8.39,3.06,35.17
3072,4364,5.35112209821e-06,Scheveningen,Kirkenes,NLD,NOR,52.1,4.26667,69.73333,30.05,1,11.35,5.23,31.3,16.25
3775,53,0.014519974837,Bergen,Grundartangi,NOR,ISL,60.4,5.31667,64.35,-21.78333,3,9,5.13,8.32,24.33
42,3218,0.0167424944098,Immingham,Reykjavik,GBR,ISL,53.63333,-0.18333,64.14972,-21.9475,229,9.97,6.52,33.48,34.7
3539,3469,8.38995528906e-05,Rendsburg,Hammerfest,DEU,NOR,54.31667,9.66667,70.66667,23.66667,1,10.36,6.16,25.09,34.44
4977,5494,0.000824800941032,Los Angeles,Dutch Hbr.,USA,USA,33.71667,-118.26667,53.9,-166.53333,18,17,5.94,33.48,32.51
2483,4364,7.7317922354e-05,Drammen,Kirkenes,NOR,NOR,59.73333,10.23333,69.73333,30.05,1,7.22,5.23,27.23,16.25
4125,3469,0.000719711447825,Stenungsund,Hammerfest,SWE,NOR,58.08333,11.81667,70.66667,23.66667,1,9.16,6.16,24.81,34.44
4311,5082,0.000471611689671,Invergordon,Tromso,GBR,NOR,57.68333,-4.16667,69.65,18.96667,2,9.11,4.14,15.86,12.35
4410,5494,0.000252564155061,Hakata,Dutch Hbr.,JPN,USA,33.61667,130.38333,53.9,-166.53333,7,18.25,5.94,26.18,32.51
187,7939,0.00169625640465,La Pallice,Vitino,FRA,RUS,46.16667,-1.23333,66.9,32.33333,1,14.93,2.98,33.86,21.66
3646,5082,0.000405541375026,Harwich,Tromso,GBR,NOR,51.95,1.28333,69.65,18.96667,7,11.25,4.14,34.58,12.35
2275,5241,0.00377266719175,Cork,Murmansk,IRL,RUS,51.9,-8.46667,68.96667,33.08333,5,11.8,3.37,17.01,6.55
5025,374,0.0144938460566,Emden,Hammerfall,DEU,NOR,53.35,7.18333,67.41667,15.53333,3,10.93,4.7,23.26,10.27
2993,4729,0.556202695393,Hamburg,Narvik,DEU,NOR,53.55,9.96667,68.43333,17.43333,87,10.61,3.55,25.09,4.16
2531,4729,0.0387895064914,Esbjerg,Narvik,DNK,NOR,55.46667,8.43333,68.43333,17.43333,1,9.84,3.55,30.65,4.16
4486,5494,0.0308672573062,Kushiro,Dutch Hbr.,JPN,USA,42.98333,144.36667,53.9,-166.53333,7,7.84,5.94,32.97,32.51
2935,5241,0.419942942184,Liverpool,Murmansk,GBR,RUS,53.41667,-3,68.96667,33.08333,63,11.59,3.37,18.01,6.55
731,5241,0.0294404679945,Gibraltar,Murmansk,GIB,RUS,36.15,-5.33333,68.96667,33.08333,15,17.78,3.37,36.43,6.55
4005,5082,0.0011313298347,Skagen,Tromso,DNK,NOR,57.71667,10.6,69.65,18.96667,26,9.46,4.14,27.5,12.35
1503,7939,0.000649340800688,Charleston,Vitino,USA,RUS,32.78333,-79.93333,66.9,32.33333,1,20.78,2.98,20.09,21.66
324,4729,8.87754939148e-05,Grimsby,Narvik,GBR,NOR,53.58333,-0.06667,68.43333,17.43333,1,9.97,3.55,33.48,4.16
3326,2654,0.0711984121815,Vila do Conde,Reydharfjordur,BRA,ISL,-1.55,-48.75,65.0333,-14.2167,3,27.54,6.015,11.21,34.471
1697,5435,0.00190393559817,Bremerhaven,Vadso,DEU,NOR,53.55,8.58333,70.06667,29.73333,2,10.74,3.33,27.33,33.81
2485,5241,0.00511898035463,Coryton,Murmansk,GBR,RUS,51.51667,0.53333,68.96667,33.08333,8,11.98,3.37,20.75,6.55
1165,875,0.124781738668,Singapore,Thorshofn,SGP,ISL,1.26667,103.83333,66.2,-15.33333,1,27.37,4.79,31.85,34.34
3365,5066,7.83797868651e-05,Wismar,Harstad,DEU,NOR,53.9,11.46667,68.8,16.55,3,10.49,7,14.09,33.69
830,3218,0.000981270748509,Rotterdam,Reykjavik,NLD,ISL,51.9,4.48333,64.14972,-21.9475,94,11.4,6.52,1.78,34.7
677,1142,8.83729629179e-05,Kristiansund,Torshavn,NOR,FRO,63.11667,7.73333,62,-6.75,2,8.61,8.39,32.8,35.17
3880,9243,0.000393308941528,Bremen,Bergneset,DEU,NOR,53.08333,8.78333,68.8,16,1,10.94,7.13,27.33,33.78
4400,2548,8.06098043669e-05,Muuga,Akureyri,EST,ISL,59.5,24.96667,65.68333,-18.05,3,7.08,4.9,5.67,18.37
843,7939,0.00909762453998,Amsterdam,Vitino,NLD,RUS,52.36667,4.9,66.9,32.33333,8,11.22,2.98,9.95,21.66
1675,3469,0.016161079784,Zeebrugge,Hammerfest,BEL,NOR,51.32306,3.21583,70.66667,23.66667,3,11.2,6.16,33.36,34.44
2969,1250,0.000527719736753,Texas City,Hvalfjordur,USA,ISL,29.36667,-94.88333,64.3833,-21.6667,1,21.91,7.017,31.12,34.561
3326,53,0.0325001083008,Vila do Conde,Grundartangi,BRA,ISL,-1.55,-48.75,64.35,-21.78333,1,27.54,5.13,11.21,24.33
2842,5494,0.00249369739293,Yokohama,Dutch Hbr.,JPN,USA,35.45,139.66667,53.9,-166.53333,3,17.64,5.94,22.49,32.51
3610,5241,0.0417100675315,Santos,Murmansk,BRA,RUS,-23.93333,-46.33333,68.96667,33.08333,2,23.39,3.37,18.52,6.55
830,4364,0.00545756506451,Rotterdam,Kirkenes,NLD,NOR,51.9,4.48333,69.73333,30.05,5,11.4,5.23,1.78,16.25
2945,7939,0.00191194888348,Falmouth,Vitino,GBR,RUS,50.16667,-5.05,66.9,32.33333,2,12.62,2.98,35.24,21.66
3052,5241,0.068215775771,Aughinish Is.,Murmansk,IRL,RUS,52.63333,-9.05,68.96667,33.08333,41,11.76,3.37,7.64,6.55
3246,3469,2.30450575198e-05,St. John's(CAN),Hammerfest,CAN,NOR,47.5625,-52.71056,70.66667,23.66667,2,4.76,6.16,31.77,34.44
4750,5066,0.000588656982945,Eemshaven,Harstad,NLD,NOR,53.45,6.83333,68.8,16.55,3,10.44,7,30.76,33.69
693,374,0.0154178399369,Porsgrunn,Hammerfall,NOR,NOR,59.13333,9.65,67.41667,15.53333,6,7.63,4.7,8.71,10.27
3649,4158,0.000129118847393,Aalesund,Faskrudhsfjordur,NOR,ISL,62.46667,6.16667,64.9295,-14.0119,3,8.03,6.015,33.17,34.471
677,53,6.84960418081e-05,Kristiansund,Grundartangi,NOR,ISL,63.11667,7.73333,64.35,-21.78333,1,8.61,5.13,32.8,24.33
2762,464,0.000356009902204,Aalborg,Sisimiut,DNK,GRL,57.05,9.91667,66.95,-53.68333,13,9.57,1.69,27.65,33.1
1012,3507,0.000302361758332,Aberdeen(GBR),Seydhisfjordur,GBR,ISL,57.15,-2.06667,65.25,-13.91667,2,9.88,4.1,34.64,23.89
3444,2376,0.00116338074948,Nakhodka,Anadyr,RUS,RUS,42.8,132.9,64.73333,177.53333,23,8.11,0.24,33.66,28.25
1985,9948,0.000322961722539,Vigo,Vaeroy,ESP,NOR,42.23333,-8.66667,67.6667,12.65,1,15.91,4.55,13.93,33.773
