SourcePort,TargetPort,Risk,SourcePortName,TargetPortName,SourceCountry,TargetCountry,SourceLat,SourceLon,TargetLat,TargetLon,Freq,SourceTemp,TargetTemp,SourceSal,TargetSal
4158,5082,0.000262762701887,Faskrudhsfjordur,Tromso,ISL,NOR,64.9295,-14.0119,69.65,18.96667,2,6.015,4.14,34.471,12.35
1128,5066,0.000300607211543,Sorreisa,Harstad,NOR,NOR,69.13333,18.13333,68.8,16.55,2,3.37,7,4.3,33.69
3986,1907,0.00026321247173,Stokmarknes,Bodo,NOR,NOR,68.56667,14.91667,67.28333,14.38333,2,5.96,7.04,32.78,32.78
5082,5435,0.0339706159711,Tromso,Vadso,NOR,NOR,69.65,18.96667,70.06667,29.73333,34,4.14,3.33,12.35,33.81
4364,1220,3.64551195073e-05,Kirkenes,Hafnarfjordur,NOR,ISL,69.73333,30.05,64.06667,-21.91667,1,5.23,6.52,16.25,34.7
4317,5439,0.000763241632951,Svolvaer,Finnsnes,NOR,NOR,68.23333,14.56667,69.23333,17.96667,4,6.05,5.19,32.82,10.3
464,713,0.00052514123951,Sisimiut,Kangerlussuaq,GRL,GRL,66.95,-53.68333,66.96667,-50.95,2,1.69,0.58,33.1,0
2654,5241,0.167681740787,Reydharfjordur,Murmansk,ISL,RUS,65.0333,-14.2167,68.96667,33.08333,3,6.015,3.37,34.471,6.55
1563,3469,0.000313950380071,Thorlakshofn,Hammerfest,ISL,NOR,63.85,-21.33333,70.66667,23.66667,1,5.96,6.16,34.84,34.44
6190,1220,0.000158322122597,Hofn,Hafnarfjordur,ISL,ISL,64.26667,-15.21667,64.06667,-21.91667,1,6.51,6.52,34.84,34.7
1370,4317,0.00030164020959,Keflavik,Svolvaer,ISL,NOR,64,-22.55,68.23333,14.56667,1,7.53,6.05,34.59,32.82
1220,2548,0.0150853511352,Hafnarfjordur,Akureyri,ISL,ISL,64.06667,-21.91667,65.68333,-18.05,5,6.52,4.9,34.7,18.37
3034,3507,6.07505393139e-05,Siglufjordur,Seydhisfjordur,ISL,ISL,66.2,-18.86667,65.25,-13.91667,3,4.06,4.1,34.47,23.89
2684,4706,0.000634316403765,Upernavik,Uummannaq,GRL,GRL,72.78333,-56.15,70.68333,-52.13333,3,1.12,1.47,32.87,32.78
3469,4729,0.000535959044413,Hammerfest,Narvik,NOR,NOR,70.66667,23.66667,68.43333,17.43333,3,6.16,3.55,34.44,4.16
