SourcePort,TargetPort,Risk,SourcePortName,TargetPortName,SourceCountry,TargetCountry,SourceLat,SourceLon,TargetLat,TargetLon,Freq,SourceTemp,TargetTemp,SourceSal,TargetSal
4246,4729,0.434712964,Flushing,Narvik,NLD,NOR,51.45,3.58333,68.43333,17.43333,10,12.05,3.55,32.96,4.16
5171,4729,0.406617761,Gijon,Narvik,ESP,NOR,43.55,-5.66667,68.43333,17.43333,7,15.59,3.55,35.52,4.16
253,5241,0.391006676,Belfast,Murmansk,GBR,RUS,54.6,-5.93333,68.96667,33.08333,20,10.85,3.37,21.04,6.55
3097,4729,0.388809112,Moneypoint,Narvik,IRL,NOR,52.6,-9.4,68.43333,17.43333,5,11.96,3.55,13.78,4.16
1916,2812,0.382592482,Hull,Kandalaksha,GBR,RUS,53.75,-0.3,67.13333,32.43333,20,11.53,3.09,19.1,21.66
295,5241,0.379304942,Newport,Murmansk,GBR,RUS,51.56667,-2.98333,68.96667,33.08333,21,11.76,3.37,12.48,6.55
3125,5241,0.372979812,Fredericia,Murmansk,DNK,RUS,55.56667,9.75,68.96667,33.08333,10,9.27,3.37,19.72,6.55
3052,4729,0.371673987,Aughinish Is.,Narvik,IRL,NOR,52.63333,-9.05,68.43333,17.43333,6,11.76,3.55,7.64,4.16
1140,4729,0.335084498,Montoir,Narvik,FRA,NOR,47.33333,-2.13333,68.43333,17.43333,5,13.9,3.55,13.23,4.16
1831,5241,0.335073711,Tees,Murmansk,GBR,RUS,54.58333,-1.16667,68.96667,33.08333,12,9.6,3.37,13.5,6.55
2945,5241,0.33446095,Falmouth,Murmansk,GBR,RUS,50.16667,-5.05,68.96667,33.08333,24,12.62,3.37,35.24,6.55
3356,2654,0.324925475,Alumar,Reydharfjordur,BRA,ISL,-2.68333,-44.36667,65.0333,-14.2167,9,27.71,6.015,18.96,34.471
938,5241,0.298580006,Europoort,Murmansk,NLD,RUS,51.95,4.08333,68.96667,33.08333,21,11.41,3.37,31.75,6.55
5171,5241,0.290293038,Gijon,Murmansk,ESP,RUS,43.55,-5.66667,68.96667,33.08333,6,15.59,3.37,35.52,6.55
1828,5241,0.285689896,Le Havre,Murmansk,FRA,RUS,49.48333,0.11667,68.96667,33.08333,19,12.05,3.37,34.52,6.55
4304,5241,0.281814999,Wilhelmshaven,Murmansk,DEU,RUS,53.51667,8.15,68.96667,33.08333,16,10.07,3.37,28.67,6.55
1817,5241,0.277737745,Conakry,Murmansk,GIN,RUS,9.5,-13.71667,68.96667,33.08333,12,26.85,3.37,32.96,6.55
2935,4729,0.275938077,Liverpool,Narvik,GBR,NOR,53.41667,-3,68.43333,17.43333,7,11.59,3.55,18.01,4.16
5808,1220,0.268058233,Stavanger,Hafnarfjordur,NOR,ISL,58.96667,5.73333,64.06667,-21.91667,24,8.9,6.52,30.8,34.7
5756,5241,0.268056515,Brake,Murmansk,DEU,RUS,53.33333,8.48333,68.96667,33.08333,8,10.92,3.37,27.33,6.55
731,5241,0.267336691,Gibraltar,Murmansk,GIB,RUS,36.15,-5.33333,68.96667,33.08333,15,17.78,3.37,36.43,6.55
7916,4729,0.264655217,Enstedvaerkets Havn,Narvik,DNK,NOR,55.01667,9.43333,68.43333,17.43333,3,9.69,3.55,18.67,4.16
5268,5241,0.264078716,Rouen,Murmansk,FRA,RUS,49.48333,1.08333,68.96667,33.08333,13,12.32,3.37,0,6.55
2823,5241,0.261558509,Aarhus,Murmansk,DNK,RUS,56.15,10.21667,68.96667,33.08333,10,9.62,3.37,20.52,6.55
4942,2812,0.25821255,Terneuzen,Kandalaksha,NLD,RUS,51.33333,3.81667,67.13333,32.43333,13,12.1,3.09,14.36,21.66
2145,4729,0.255835986,Tyne,Narvik,GBR,NOR,55,-1.43333,68.43333,17.43333,4,9.62,3.55,34.46,4.16
4304,4729,0.254489969,Wilhelmshaven,Narvik,DEU,NOR,53.51667,8.15,68.43333,17.43333,5,10.07,3.55,28.67,4.16
2075,5241,0.253996854,Port Kaiser,Murmansk,JAM,RUS,17.88333,-77.6,68.96667,33.08333,12,26.47,3.37,26.35,6.55
2945,4729,0.253496277,Falmouth,Narvik,GBR,NOR,50.16667,-5.05,68.43333,17.43333,4,12.62,3.55,35.24,4.16
5717,4729,0.246260287,Brunsbuttel,Narvik,DEU,NOR,53.9,9.13333,68.43333,17.43333,4,10.53,3.55,25.09,4.16
835,4729,0.242663508,Nordenham,Narvik,DEU,NOR,53.48333,8.48333,68.43333,17.43333,5,10.84,3.55,27.33,4.16
5771,5241,0.234415946,Port Talbot,Murmansk,GBR,RUS,51.58333,-3.71667,68.96667,33.08333,5,11.66,3.37,14.68,6.55
5952,4729,0.227685555,Leith,Narvik,GBR,NOR,55.98333,-3.16667,68.43333,17.43333,8,10.08,3.55,33.97,4.16
1781,5610,0.222705485,Cape Town,Straumsvik,ZAF,ISL,-33.91667,18.43333,64.05,-22.05,8,15.85,7.39,35.2,34.7
1640,6311,0.219510672,Yosu,Red Dog,KOR,USA,34.75,127.78333,67.58333,-164.05,6,15.97,0.36,33.4,30.12
406,5241,0.217035352,San Ciprian,Murmansk,ESP,RUS,43.7,-7.45,68.96667,33.08333,6,15.28,3.37,35.63,6.55
4942,4729,0.21121048,Terneuzen,Narvik,NLD,NOR,51.33333,3.81667,68.43333,17.43333,4,12.1,3.55,14.36,4.16
1049,5241,0.209432274,Avonmouth,Murmansk,GBR,RUS,51.5,-2.71667,68.96667,33.08333,5,11.74,3.37,34.42,6.55
1732,5241,0.207236866,Everingen,Murmansk,NLD,RUS,51.4633,3.6739,68.96667,33.08333,12,12.077,3.37,32.32,6.55
4646,5241,0.206746993,Dublin,Murmansk,IRL,RUS,53.35,-6.21667,68.96667,33.08333,7,10.78,3.37,34.28,6.55
941,4729,0.205326969,Algeciras,Narvik,ESP,NOR,36.11667,-5.43333,68.43333,17.43333,4,17.78,3.55,36.43,4.16
1389,53,0.199850471,Mo i Rana,Grundartangi,NOR,ISL,66.31667,14.13333,64.35,-21.78333,25,4.51,5.13,1.07,24.33
3083,6311,0.19727733,Fukuyama,Red Dog,JPN,USA,34.43333,133.45,67.58333,-164.05,3,16.87,0.36,32.12,30.12
181,5241,0.194927163,Casablanca,Murmansk,MAR,RUS,33.61667,-7.6,68.96667,33.08333,8,19.35,3.37,36.41,6.55
5708,6311,0.19122797,Chiba,Red Dog,JPN,USA,35.56667,140.05,67.58333,-164.05,4,17.49,0.36,12.01,30.12
576,2812,0.191167016,Antwerp,Kandalaksha,BEL,RUS,51.24472,4.41139,67.13333,32.43333,10,11.97,3.09,0.31,21.66
8244,4364,0.190975372,South Killingholme,Kirkenes,GBR,NOR,53.63333,-0.2,69.73333,30.05,3,9.97,5.23,33.48,16.25
731,4021,0.189881077,Gibraltar,Churchill,GIB,CAN,36.15,-5.33333,58.78333,-94.21667,7,17.78,4.32,36.43,26.33
4611,4729,0.184148296,Sines,Narvik,PRT,NOR,37.95,-8.86667,68.43333,17.43333,2,17.12,3.55,36.01,4.16
4244,2654,0.177443861,Brevik,Reydharfjordur,NOR,ISL,59.05,9.71667,65.0333,-14.2167,12,7.76,6.015,15.83,34.471
830,3960,0.177420912,Rotterdam,Dudinka,NLD,RUS,51.9,4.48333,69.4,86.16667,25,11.4,0,1.78,0
938,5835,0.176284183,Europoort,Advent Bay,NLD,SJM,51.95,4.08333,78.25,15.58333,7,11.41,0.23,31.75,33.73
4447,4729,0.174721071,Farsund,Narvik,NOR,NOR,58.1,6.81667,68.43333,17.43333,4,8.86,3.55,16.6,4.16
3775,1142,0.1727839,Bergen,Torshavn,NOR,FRO,60.4,5.31667,62,-6.75,102,9,8.39,8.32,35.17
2821,4729,0.170418402,Bristol,Narvik,GBR,NOR,51.45,-2.63333,68.43333,17.43333,3,11.8,3.55,11.17,4.16
941,5241,0.165812467,Algeciras,Murmansk,ESP,RUS,36.11667,-5.43333,68.96667,33.08333,9,17.78,3.37,36.43,6.55
3216,5241,0.163585169,Nantes,Murmansk,FRA,RUS,47.23333,-1.56667,68.96667,33.08333,5,13.79,3.37,0.56,6.55
4240,6311,0.163170782,Kashima,Red Dog,JPN,USA,35.93333,140.7,67.58333,-164.05,3,16.61,0.36,34.15,30.12
9472,6311,0.162345115,Caofeidian,Red Dog,CHN,USA,38.9223,118.5058,67.58333,-164.05,3,24.41,0.36,30.67,30.12
5756,4729,0.160203928,Brake,Narvik,DEU,NOR,53.33333,8.48333,68.43333,17.43333,4,10.92,3.55,27.33,4.16
1483,6311,0.160175327,Mizushima,Red Dog,JPN,USA,34.5,133.75,67.58333,-164.05,3,17.41,0.36,32.12,30.12
2993,4364,0.15912994,Hamburg,Kirkenes,DEU,NOR,53.55,9.96667,69.73333,30.05,3,10.61,5.23,25.09,16.25
4538,2812,0.158174252,Ghent,Kandalaksha,BEL,RUS,51.08806,3.74528,67.13333,32.43333,7,12.14,3.09,1.55,21.66
5952,2812,0.15751996,Leith,Kandalaksha,GBR,RUS,55.98333,-3.16667,67.13333,32.43333,7,10.08,3.09,33.97,21.66
3489,6311,0.156362536,Wakayama,Red Dog,JPN,USA,34.2,135.13333,67.58333,-164.05,2,18.63,0.36,32.94,30.12
2417,6311,0.156033704,Hachinohe,Red Dog,JPN,USA,40.53333,141.53333,67.58333,-164.05,3,13.3,0.36,33.73,30.12
4940,5241,0.152763171,Santander,Murmansk,ESP,RUS,43.46667,-3.76667,68.96667,33.08333,3,15.84,3.37,35.45,6.55
